pert_id,pert_iname
brdn0001054820,erg
brdn0001054957,plxna1
brdn0001054811,cxcr4
brdn0001054816,akt1
brdn0001054817,smad4
brdn0000734793,tp53
brdn0000733888,zeb1
brdn0000736015,cic
brdn0000735605,itga11
brdn0000986555,myc
brdn0000734431,mttp
brdn0000986626,myc
brdn0000736207,mapkapk2
brdn0000986532,tp53
brdn0000735632,smad2
brdn0000733270,hdac1
brdn0000735469,acly
brdn0001055154,tinf2
brdn0000736134,insm2
brdn0000733576,hdac2
brdn0000736021,mapkapk2
brdn0001054829,tlk2
brdn0000735471,acly
brdn0000986732,tp53
brdn0000734501,krt19
brdn0000733304,nf1
brdn0000735960,keap1
brdn0001053921,nf1
brdn0000734239,fasn
brdn0001054910,erg
brdn0001054769,ptp4a1
brdn0001055062,erbb3
brdn0001054759,pik3ca
brdn0001054771,egfr
brdn0001054758,mast4
brdn0001055133,exo1
brdn0001054883,kras
brdn0001054766,akt2
brdn0001054889,kras
brdn0001054853,erg
brdn0001054775,ppp2r2c
brdn0001054963,erg
brdn0001054876,igf2bp2
brdn0001055034,dido1
brdn0001054800,pfdn2
brdn0001054917,chmp2a
brdn0000563123,pik3ca
brdn0001054934,camk1
brdn0001054799,kit
brdn0001054824,mast4
brdn0001054954,braf
brdn0001054780,pfdn2
brdn0000734269,mttp
brdn0000988142,axl
brdn0000736013,insm2
brdn0000735670,tgfbr2
brdn0000736032,keap1
brdn0000734202,fasn
brdn0000736247,cic
brdn0000734398,fasn
brdn0000735633,smad3
brdn0000563703,tp53
brdn0000735589,itga11
brdn0000735663,fn1
brdn0000734492,acly
brdn0000986672,tp53
brdn0000990361,cdh1
brdn0000735497,fasn
brdn0000733798,bcl2l1
brdn0000735629,tgfbr2
brdn0001054845,aurkb
brdn0001054761,egfr
brdn0000735701,tgfbr2
brdn0000736005,insm2
brdn0001054802,akt1
brdn0001055134,smad4
brdn0001054989,exo1
brdn0000733244,zeb1
brdn0000733763,bcl2l1
brdn0001054822,braf
brdn0001054938,aurkb
brdn0000582717,hdac3
brd-a36536537,sch 900776
brd-k04701033,ve-822
brd-a17883755,lenalidomide
brd-k13514097,everolimus
brd-k22024824,rg-4733
brd-k56195681,losmapimod
brd-k67860401,ar-a014418
brd-k29343434,bms-906024
brd-k73261812,brd-k73261812
brd-m45964048,verteporfin
brd-k93468883,ipi-145
brd-k31283835,tofacitinib
brd-k25412176,gsk-2110183
brd-a11170096,pravastatin
brd-k93023739,ikk-inhibitor-x
brd-k25114078,aminoguanidine
brd-k25204779,pritelivir
brd-k25361343,batimastat
brd-k25140590,cx-516
brd-a25234499,aminoglutethimide
brd-k25394294,oxaprozin
brd-k25650355,physostigmine
brd-k25943794,blonanserin
brd-a26032986,zaldaride
brd-k50691590,bortezomib
brd-k25837718,josamycin
brd-k26011976,licochalcone-a
brd-a26095496,clobetasol
brd-a26334849,propafenone
brd-k26603252,pd-153035
brd-k26657438,imiquimod
brd-a26690767,saquinavir
brd-a26711594,nicardipine
brd-k26619122,thiocolchicoside
brd-k26701552,tegobuvir
brd-k26712974,vx-765
brd-a27376179,lestaurtinib
brd-k27938825,asa-404
brd-k28183345,proguanil
brd-a27732521,tolperisone
brd-k27955832,lomeguatrib
brd-k28143534,cyproheptadine
brd-k28217197,ganaxolone
brd-a28467416,pki-179
brd-a28545468,selegiline
brd-k28731095,calcitriol
brd-k28761891,ramelteon
brd-k28542495,benzydamine
brd-k28667793,pyrazinamide
brd-a28787076,inosine
brd-k28971625,zd-7114
brd-k60230970,mg-132
brd-a29289453,pca-4248
brd-k29322660,edoxaban
brd-k28984613,dutasteride
brd-a29260609,acebutolol
brd-a29322418,potassium-canrenoate
brd-k29359156,ebselen
brd-k29582115,ziprasidone
brd-k29653726,topiramate
brd-k29673530,hypericin
brd-a29734509,disopyramide
brd-a29623586,anisodamine
brd-k29656036,mk-8245
brd-a29731977,17-hydroxyprogesterone-caproate
brd-k29735307,ostarine
brd-k30126819,dimesna
brd-k30421593,timolol
brd-k30480208,torasemide
brd-a30051119,amikacin
brd-k30331124,asc-j9
brd-k30466858,ellagic-acid
brd-k03842655,penitrem-a
brd-k15502390,nevirapine
brd-k15567136,papaverine
brd-a15909516,rebamipide
brd-k15507868,tesaglitazar
brd-k15766189,cefdinir
brd-k15916496,clotrimazole
brd-k15933101,ropinirole
brd-k16037980,z160
brd-k16133773,abiraterone-acetate
brd-k15976406,telbivudine
brd-k16077845,fentiazac
brd-k16195444,oxymetazoline
brd-k16295392,atrasentan
brd-a16296925,indobufen
brd-k16444452,ibudilast
brd-k16508793,diazepam
brd-a16665823,butoconazole
brd-a16347691,thioctic-acid
brd-k16542329,zaprinast
brd-k16732600,mk-0893
brd-k16898998,bevirimat-dimeglumine
brd-k16757695,prx-08066
brd-k16762525,clarithromycin
brd-k16803204,filgotinib
brd-a16997652,protirelin
